Year,Month,Total waiting > 18 weeks
2011,Jan,16857
2011,Feb,14874
2011,Mar,15795
2011,Apr,11994
2011,May,11658
2011,Jun,10477
2011,Jul,8775
2011,Aug,10601
2011,Sep,9910
2011,Oct,10017
2011,Nov,11100
2011,Dec,7770
2012,Jan,8950
2012,Feb,9238
2012,Mar,9421
2012,Apr,7626
2012,May,8484
2012,Jun,7588
2012,Jul,8240
2012,Aug,9732
2012,Sep,9114
2012,Oct,10295
2012,Nov,10868
2012,Dec,8218
2013,Jan,9951
2013,Feb,9571
2013,Mar,9206
2013,Apr,10373
2013,May,10186
2013,Jun,8342
2013,Jul,8749
2013,Aug,9333
2013,Sep,9317
2013,Oct,10114
2013,Nov,10514
2013,Dec,8801
2014,Jan,10867
2014,Feb,10366
2014,Mar,11232
2014,Apr,10680
2014,May,10455
2014,Jun,10327
2014,Jul,10317
2014,Aug,10700
2014,Sep,11465
2014,Oct,11795
2014,Nov,12807
2014,Dec,11299
2015,Jan,12819
2015,Feb,12500
2015,Mar,13418
2015,Apr,12303
2015,May,11650
2015,Jun,12839
2015,Jul,12314
2015,Aug,12621
2015,Sep,14167
2015,Oct,14360
2015,Nov,15365
2015,Dec,13248
2016,Jan,13011
2016,Feb,14704
2016,Mar,14869
2016,Apr,14330
2016,May,14007
2016,Jun,14555
2016,Jul,12370
2016,Aug,16188
2016,Sep,16635
2016,Oct,15995
2016,Nov,18735
2016,Dec,15485
2017,Jan,17613
2017,Feb,17151
2017,Mar,19448
2017,Apr,14389
2017,May,16699
2017,Jun,15945
2017,Jul,13713
2017,Aug,17290
2017,Sep,16528
2017,Oct,17599
2017,Nov,19120
2017,Dec,13991
2018,Jan,19354
2018,Feb,17680
2018,Mar,18133
2018,Apr,17197
2018,May,18324
2018,Jun,16795
2018,Jul,15279
2018,Aug,17945
2018,Sep,17538
2018,Oct,21897
2018,Nov,22831
2018,Dec,17516
2019,Jan,22782
2019,Feb,21179
2019,Mar,23326
2019,Apr,20194
2019,May,20451
2019,Jun,19054
2019,Jul,19060
2019,Aug,21072
2019,Sep,21922
2019,Oct,21862
2019,Nov,22353
2019,Dec,17760
2020,Jan,21926
2020,Feb,20329
2020,Mar,13089
2020,Apr,4453
2020,May,5353
2020,Jun,8463
2020,Jul,11875
2020,Aug,14725
2020,Sep,17219
2020,Oct,16345
2020,Nov,17455
2020,Dec,14714
2021,Jan,12390
2021,Feb,13113
2021,Mar,17050
2021,Apr,14840
2021,May,14986
2021,Jun,16026
2021,Jul,13884
2021,Aug,14825
2021,Sep,14925
2021,Oct,14003
2021,Nov,18284
2021,Dec,14449
2022,Jan,14154
2022,Feb,15938
2022,Mar,18678
